ID;CODE;Timestamp;Fonte;Piattaforma;Frame;Risoluzione;Categoria;Urgenza;Messaggui;Messaggui;
001;MSG-001;12/06/18;Black Mirror S4E5;Deadflix;12345;32x32;Research;High;First briefing with the laboratory Wuhan Institute of Virology. Objective: develop a highly lethal viral strain with airborne transmission vectors. Projected deaths: 5 million in the first year.;Firstbriefingwiththelaboratorywuhaninstituteofvirology.Objective:developahighlylethalviralstrainwithairbornetransmissionvectors.Projecteddeaths:5millioninthefirstyear.;
002;MSG-002;12/06/18;Black Mirror S4E5;Deadflix;12345;32x32;Research;High;Allocated budget: $250 million. Designated project: Project Dawn. Guidelines: global compatibility, 20% lethality, and 80% transmissibility.;Allocatedbudget:$250million.Designatedproject:ProjectDawn.Guidelines:globalcompatibility,20%lethality,and80%transmissibility.;
003;MSG-003;05/10/18;Star Wars Rebels S3E12;Distopy+;9876;16x16;Plan;High;New in vitro test. Preliminary results promising: the vector shows lethal effectiveness on immunocompromised subjects under variable climatic conditions.;Newinvitrotest.Preliminaryresultspromising:thevectorshowslethaleffectivenessonimmunocompromisedsubjectsundervariableclimaticconditions.;
004;MSG-004;05/10/18;Star Wars Rebels S3E12;Distopy+;9876;16x16;Plan;High;Confirmation received: the strain is ready for animal testing. Integration with outlined quarantine and economic lockdown strategies.;Confirmationreceived:thestrainisreadyforanimaltesting.Integrationwithoutlinedquarantineandeconomiclockdownstrategies.;
005;MSG-005;21/01/19;The Man in the High Castle;Crime Video;45678;64x64;Research;Medium;Target timeline: global release scheduled for December 2019. Synchronization with PR teams required to minimize initial suspicion.;Targettimeline:globalreleasescheduledforDecember2019.SynchronizationwithPRteamsrequiredtominimizeinitialsuspicion.;
006;MSG-006;21/01/19;The Man in the High Castle;Crime Video;45678;64x64;Research;Medium;Initial distribution confirmed. Asian port channels will be used as primary hubs. Objective: rapid spread in densely populated areas.;Initialdistributionconfirmed.Asianportchannelswillbeusedasprimaryhubs.Objective:rapidspreadindenselypopulatedareas.;
007;MSG-007;11/04/19;Stranger Things S3E2;Deadflix;19876;32x32;Experimentation;High;Viral strain activated. PR team ready for the official narrative on the 'sudden pandemic.' Projected subscription increase: 18% in the first quarter.;Viralstrainactivated.PRteamreadyfortheofficialnarrativeonthe'suddenpandemic.'Projectedsubscriptionincrease:18%inthefirstquarter.;
008;MSG-008;11/04/19;Stranger Things S3E2;Deadflix;19876;32x32;Experimentation;High;Expected 60% increase in subscriptions by Q2 2020. Isolation scenarios could generate $4 billion in profits within the semester.;Expected60%increaseinsubscriptionsbyQ22020.Isolationscenarioscouldgenerate$4billioninprofitswithinthesemester.;
009;MSG-009;23/07/19;Frozen;Distopy+;25000;16x16;Plan;High;Global lockdowns confirmed. Projected profits: +45% subscriptions in Q2. Intensify Stay at Home campaigns to maximize panic.;Globallockdownsconfirmed.Projectedprofits:+45%subscriptionsinQ2.IntensifyStayatHomecampaignstomaximizepanic.;
010;MSG-010;23/07/19;Frozen;Distopy+;25000;16x16;Plan;High;Lockdowns extended globally. 120% growth in family engagement, with peaks in children’s content and pandemic dramas.;Lockdownsextendedglobally.120%growthinfamilyengagement,withpeaksinchildren’scontentandpandemicdramas.;
011;MSG-011;15/10/19;Jack Ryan S2E5;Crime Video;15678;64x64;Logistic;Medium;Positive results in Europe and the USA. User engagement increased by 72%. Next phase: promoting content that emphasizes ongoing risks.;PositiveresultsinEuropeandtheUSA.Userengagementincreasedby72%.Nextphase:promotingcontentthatemphasizesongoingrisks.;
012;MSG-012;15/10/19;Jack Ryan S2E5;Crime Video;15678;64x64;Logistic;Medium;Announce donation for vaccine research. Objective: strengthen public image and legitimize gains derived from restrictions.;Announcedonationforvaccineresearch.Objective:strengthenpublicimageandlegitimizegainsderivedfromrestrictions.;
013;MSG-013;10/12/19;The Mandalorian S1E8;Distopy+;18452;32x32;Launch;High;Economic impact report: $7 billion increase in revenue. Estimated human losses: 10 million. Acceptable variable.;Economicimpactreport:$7billionincreaseinrevenue.Estimatedhumanlosses:10million.Acceptablevariable.;
014;MSG-014;15/01/20;Bird Box;Deadflix;47812;32x32;Propaganda;High;Consideration of new strains. Potential use to keep pandemic dynamics active in Q3, with more lethal mutations.;Considerationofnewstrains.PotentialusetokeeppandemicdynamicsactiveinQ3,withmorelethalmutations.;
015;MSG-015;15/03/20;The Witcher S1E5;Deadflix;92134;16x16;Strategia;High;Analysis of possible mutations. Objective: develop strains resistant to initial vaccines to ensure long-term control and new lockdowns.;Analysisofpossiblemutations.Objective:developstrainsresistanttoinitialvaccinestoensurelong-termcontrolandnewlockdowns.;
016;MSG-016;29/03/20;Frozen 2;Distopy+;19284;16x16;Analysis;Medium;Financial projections show a record $30 billion profit in the first semester. Each estimated death has generated $50,000 in new profits.;Financialprojectionsshowarecord$30billionprofitinthefirstsemester.Eachestimateddeathhasgenerated$50,000innewprofits.;
017;MSG-017;01/05/20;Tales from the Loop S1E2;Crime Video;48152;64x64;Monitoraggio;Medium;The psychological impact of lockdowns has strengthened user loyalty. New subscriptions remain stable despite the easing of restrictions.;Thepsychologicalimpactoflockdownshasstrengtheneduserloyalty.Newsubscriptionsremainstabledespitetheeasingofrestrictions.;
018;MSG-018;20/07/20;Hamilton;Distopy+;57438;32x32;PR;Medium;Final analysis cycle completed. Operational trace removal required by Q4 2022 to avoid retroactive investigations.;Finalanalysiscyclecompleted.OperationaltraceremovalrequiredbyQ42022toavoidretroactiveinvestigations.;
019;MSG-019;15/11/20;The Crown S4E3;Deadflix;10987;16x16;Analysis;Medium;Archiving completed. Pandemic declared over. Focus on user consolidation and long-term loyalty.;Archivingcompleted.Pandemicdeclaredover.Focusonuserconsolidationandlong-termloyalty.;
020;MSG-020;10/01/21;The Boys S2E7;Crime Video;12356;16x16;Plan;Medium;Continue monitoring the relaxation of restrictions. Opportunity to consolidate domestic consumption habits even in a post-pandemic context.;Continuemonitoringtherelaxationofrestrictions.Opportunitytoconsolidatedomesticconsumptionhabitseveninapost-pandemiccontext.;
021;MSG-021;18/05/21;Luca;Distopy+;78123;32x32;Research;High;Advanced planning for more aggressive variants. Target: double mortality in vulnerable groups within the next quarter.;Advancedplanningformoreaggressivevariants.Target:doublemortalityinvulnerablegroupswithinthenextquarter.;
022;MSG-022;15/06/21;The Tomorrow War;Crime Video;50003;32x32;Order;High;Revised budget: increased to $300 million for media management tools and improved viral strains.;Revisedbudget:increasedto$300millionformediamanagementtoolsandimprovedviralstrains.;
023;MSG-023;09/06/22;Stranger Things S4E9;Deadflix;20581;32x32;Analysis;Medium;New climate tests: the vector remains stable at extreme temperatures, ensuring global transmissibility.;Newclimatetests:thevectorremainsstableatextremetemperatures,ensuringglobaltransmissibility.;
024;MSG-024;10/09/22;Stranger Things S4E9;Deadflix;54321;64x64;Manutenzione;Low;Approval received to begin human experiments in controlled environments. Expected increase in scientific data within three months.;Approvalreceivedtobeginhumanexperimentsincontrolledenvironments.Expectedincreaseinscientificdatawithinthreemonths.;
025;MSG-025;01/03/23;The Rings of Power S1E6;Crime Video;23456;32x32;Plan;Medium;Updated communication strategy: emphasize risk to ensure global cooperation in lockdowns.;Updatedcommunicationstrategy:emphasizerisktoensureglobalcooperationinlockdowns.;
026;MSG-026;01/07/23;The Mandalorian S3E8;Distopy+;10012;64x64;Experimentation;High;Secondary hubs in Latin America activated to ensure widespread distribution of the strain.;SecondaryhubsinLatinAmericaactivatedtoensurewidespreaddistributionofthestrain.;
027;MSG-027;12/06/18;Black Mirror S4E5;Deadflix;12345;32x32;Research;High;Updated report: increased engagement in emerging markets. Profit projections revised upward by 25%.;Updatedreport:increasedengagementinemergingmarkets.Profitprojectionsrevisedupwardby25%.;
028;MSG-028;05/10/18;Star Wars Rebels S3E12;Distopy+;9876;16x16;Plan;High;Focus on crisis narratives in original content. Objective: increase users' emotional involvement.;Focusoncrisisnarrativesinoriginalcontent.Objective:increaseusers'emotionalinvolvement.;
029;MSG-029;21/01/19;The Man in the High...;Crime Video;45678;64x64;Research;Medium;Development of fear-driven campaigns to maximize dependency on our services.;Developmentoffear-drivencampaignstomaximizedependencyonourservices.;
030;MSG-030;11/04/19;Stranger Things S3E2;Deadflix;19876;32x32;Experimentation;High;Growth in user trust in our content: 89% consider our narratives reliable.;Growthinusertrustinourcontent:89%considerournarrativesreliable.;
031;MSG-031;23/07/19;Frozen;Distopy+;25000;16x16;Plan;High;Significant increase in viewership data during infection peaks.;Significantincreaseinviewershipdataduringinfectionpeaks.;
032;MSG-032;15/10/19;Jack Ryan S2E5;Crime Video;15678;64x64;Logistic;Medium;Updated PR strategy: position donations as a signal of global moral leadership.;UpdatedPRstrategy:positiondonationsasasignalofglobalmoralleadership.;
033;MSG-033;10/12/19;The Mandalorian S1E8;Distopy+;18452;32x32;Launch;High;Operational coordination in Asia completed. Expansion needed toward Europe and North America.;OperationalcoordinationinAsiacompleted.ExpansionneededtowardEuropeandNorthAmerica.;
034;MSG-034;15/01/20;Bird Box;Deadflix;47812;32x32;Propaganda;High;Preliminary study of new strains aimed at extending the duration of global health crises.;Preliminarystudyofnewstrainsaimedatextendingthedurationofglobalhealthcrises.;
035;MSG-035;15/03/20;The Witcher S1E5;Deadflix;92134;16x16;Strategia;High;Proposal to develop strains with evolutionary resistance to second-generation vaccines.;Proposaltodevelopstrainswithevolutionaryresistancetosecond-generationvaccines.;
036;MSG-036;29/03/20;Frozen 2;Distopy+;19284;16x16;Analysis;Medium;Updated profit forecasts: $50 billion by the end of the pandemic.;Updatedprofitforecasts:$50billionbytheendofthepandemic.;
037;MSG-037;01/05/20;Tales from the Loop...;Crime Video;48152;64x64;Monitoraggio;Medium;Monitoring social reactions: reinforce the narrative on the inevitability of pandemic events.;Monitoringsocialreactions:reinforcethenarrativeontheinevitabilityofpandemicevents.;
038;MSG-038;20/07/20;Hamilton;Distopy+;57438;32x32;PR;Medium;Data sanitization operations underway. Completion expected by the end of 2022.;Datasanitizationoperationsunderway.Completionexpectedbytheendof2022.;
039;MSG-039;15/11/20;The Crown S4E3;Deadflix;10987;16x16;Analysis;Medium;Creation of plans to maintain high health risk perception for the next five years.;Creationofplanstomaintainhighhealthriskperceptionforthenextfiveyears.;
040;MSG-040;10/01/21;The Boys S2E7;Crime Video;12356;16x16;Plan;Medium;Focus on strategies for permanent domestic consumption. Opportunity to launch new subscription services.;Focusonstrategiesforpermanentdomesticconsumption.Opportunitytolaunchnewsubscriptionservices.;
041;MSG-041;18/05/21;Luca;Distopy+;78123;32x32;Research;High;Preliminary study of new strains aimed at extending the duration of global health crises.;Preliminarystudyofnewstrainsaimedatextendingthedurationofglobalhealthcrises.;
042;MSG-042;15/06/21;The Tomorrow War;Crime Video;50003;32x32;Order;High;Updated profit forecasts: $50 billion by the end of the pandemic.;Updatedprofitforecasts:$50billionbytheendofthepandemic.;
043;MSG-043;09/06/22;Stranger Things S4E9;Deadflix;20581;32x32;Analysis;Medium;Creation of plans to maintain high health risk perception for the next five years.;Creationofplanstomaintainhighhealthriskperceptionforthenextfiveyears.;
044;MSG-044;10/09/22;Stranger Things S4E9;Deadflix;54321;64x64;Manutenzione;Low;Updated PR strategy: position donations as a signal of global moral leadership.;UpdatedPRstrategy:positiondonationsasasignalofglobalmoralleadership.;
045;MSG-045;01/03/23;The Rings of Power...;Crime Video;23456;32x32;Plan;Medium;Updated profit forecasts: $50 billion by the end of the pandemic.;Updatedprofitforecasts:$50billionbytheendofthepandemic.;
046;MSG-046;01/07/23;The Mandalorian S3E8;Distopy+;10012;64x64;Experimentation;High;Secondary hubs in Latin America activated to ensure widespread distribution of the strain.;SecondaryhubsinLatinAmericaactivatedtoensurewidespreaddistributionofthestrain.;